label,source,sentence
fear,emotional_events,"My episode of fright happened when I came to study.  I had to stand in front of my still unknown fellow students and talk about myself.  My hands shook, I flushed and became tongue-tied."
fear,tweets,WE Quite Like Worthing its a relaxing place with nice coffee shops and fresh air.. and not too many Oiks
fear,tweets,She was so posh it frightened me. I'm still scared.
fear,artificial_sentences,Kagan was deeply concerned that his access to the child was limited .
fear,tweets,Ahhhhhh I got stitches  I seriously cant wait to go to the beach! SUMMER HURRY UP!!!!!!
fear,tweets,Good Morning!
fear,tweets,someone come to fright world w me🤗🤗
fear,tweets,Getting that funny feeling that usually indicates I'm sick. Great....
fear,tweets,Working on several book projects that are due to be released within the next few months.  I need an extra pair of hands!  It's all good...
fear,tweets,"hi angela, can you check your email? I need one thing from you (sorry if it's your day off  )"
fear,tweets,"I really, really want a golden retriever. Too bad I won't be living in a home where she could run around for about 10 years"
fear,emotional_events,"Once our school class went skiing. On a steep slope a boy standing behind me lost his balance, fell down and drew me with him. I slided down the whole slope. At about 1 m distance from a tree I could stop."
fear,emotional_events,"When I was involved in a car accident last November, after the first fall of snow.  I lost control of the car and it spun round and landed on the opposite side of the road, on the hard shoulder.  It was stopped by a pole on top of a bank sloping down to a stream."
fear,tweets,soooo sunburnt  my mum was out earlier so i had to wait for her to get in and fell asleep on the trampoline for 2 hours in the sun (U)
fear,artificial_sentences,Agony ` I had no time to feel nervous about facing Steve Bull and Andy Mutch .
fear,tweets,awe I miss your sweet smile! Come visit me and   sometime when we're not all working😅😩
fear,tweets,Does anyone know how to scale a pic down I'm trying to change my pic but all my pics r 2 big n I keep cropping them...HELP
fear,artificial_sentences,"Jose , the refuge guardian , was concerned when Jeremy did n't return to Elola on the evening of Sunday , October 21 -- he had left his camping gear behind in the hut ."
fear,tweets,"😝 scared of their own horror story they wrote, afraid of the #terror they spread, will #europe start WW3 in 2017 anniversary of WW1"
fear,tweets,I can't figure out the empire puzzle.  Stuck at 36
fear,tweets,"#revitalize #ClevelandHustles #daunting task, #hustle"
fear,tweets,I don't want to sit at home on prom night. Someone hang out with me
fear,tweets,What a busy day ... am disappointed that today's show is a repeat
fear,tweets,can't believe Mint fest is two days away and i hate my outfit 😩😩🙈 #nightmare
fear,tweets,ya i can never watch any of them :l
fear,tweets,Going to see Star Trek (again) tomorrow night but this time in full IMAX glory!  I hope my motion sickness doesn't get the better of me!
fear,tweets,The whole idea f a nation revolves around Kashmir ; global terrorism: evrn don't care their kids dying of hunger. #NawazFightsForKashmir
fear,tweets,Watching hollyoaks - hoping Justin isn't the one to die.
fear,tweets,is going for morrisons breakfast with my boy today  wooooooooooo.
fear,tweets,GREG NOOOOO DON  LEAVE ME  U SHUD HAVE GONE THROOOOOOOOOOOOOO!!!!!! im gonna find u restaurant don't worry lol  cry cry cry
fear,fairytale_sentences,"Many things, of which she had feared even to speak, came into her mind."
fear,fairytale_sentences,"Oh, exclaimed Little Claus, pretending to be frightened, ""he is in there still, is he?"
fear,emotional_events,Heard some ghost-like noise at night.
fear,tweets,#picoftheday : How...why... Really... !!\n    #funny #picoftheday #lol #random #laugh #chair #of #despair #funnypics  #virgin #cafe #i...
fear,tweets,i got a messgae but it didnt work cause i have a text saver not like money credit  im sad now. wat do i do?? xoxo
fear,tweets,I know!!  effing embarrassing! Eff our lives
fear,tweets,About to get my wisdom teeth pulled!
fear,tweets,"loved, but hated driving in pollution"
fear,emotional_events,Every time I meet a certain dog that has once bitten me.
fear,tweets,"Hey   I've been charged £40.24 on my credit card 4 an order which never arrived last Friday, any chance of a refund!!"
fear,tweets,your phone isn't working!
fear,tweets,The book bloggers panel is not listed anywhere in the program!   Be there tomorrow at 2pm in room 1E15.  #BEA09
fear,tweets,;   suck at trying to scare people but are good at killing naps.
fear,emotional_events,Anatomy lesson and told we have to do it at night sometimes.
fear,tweets,because I couldn't get the money to mikey in time.  trust me. It makes me sad too.
fear,tweets,"I hope u enjoyed it and your back is now feeling much more better  God,its 1:20am...heading to bed  God..too late..good night"
fear,tweets,the tummy monster hates me
fear,tweets,"OMG, that's such a beautiful quote.  #amwriting"
fear,tweets,Te gusta American horror story y The walking dead?
fear,tweets,......when I find chays keys  im gonna clean my room up tomorrow. They'll pop up
fear,tweets,My husband thinks my Twittering makes me a creeper... whatever.
fear,tweets,you said you fucked up your nose!
fear,tweets,"Aww, why not?"
fear,tweets,but your pussy was weak from what I heard so stfu up to me bitch . You got to threaten him that your pregnant .
fear,tweets,"Welp, I'm off to get my #anxiety meds now. #Empire"
fear,emotional_events,"My boyfriend hinted over the phone about wanting to \be free\"".  á|He thus did not say it point blank, silence followed."""
fear,tweets,... looks like it's gonna rain
fear,tweets,flipping out on my hairloss....gotta go to the doc.
fear,tweets,"gosh, I'm sorry man.  I'll hope for good news."
fear,tweets,Thanks
fear,tweets,The concept that a gay magazine feels like it has to cover terrible people -because they’re gay voices- seems all upside down
fear,tweets,Help i need the stalker police can you give me their number
fear,tweets,This is truly enlightening for me
fear,tweets,wow i'm really reallly ill
fear,emotional_events,Before one of my final exams of the third year - natural sciences.
fear,tweets,Look at me. Made it through the day without a meltdown. #anxiety
fear,tweets,thats bad your been forced to watch that  there must be a helpline you can call ?  we are both good thanx he's asleep
fear,tweets,"chillin, wish i was with my pals in il"
fear,tweets,these dogs are going to die if somebody doesn't save them!
fear,tweets,I am so sorry I missed your tweet  I was on a nice long chat across the border with pastel. Did you want the recipe? email?
fear,tweets,It was indeed a lovely evening. Over far too quickly  I got home at 1115 in the end. Coffee in bed this morning
fear,tweets,im feel verey tired  madry chasawy 9j !!!!!!!!!
fear,artificial_sentences,"One itemised phone bill to Bedworth 's horrified mother ran to 34 pages of listed calls , the jury heard ."
fear,tweets,"also I managed to ink half more page. unfortunately page 006 will totally suck, but at least I tried hard before I decided to move on"
fear,tweets,I have never been more anxious of a election in my life‼️
fear,tweets,"Anybody have advice on who to use for printing biz cards besides Overnight (bad experience) ; PsPrint, each biz card = sep. project ="
fear,tweets,'Operation Echoes' is gathering momentum ... #tense  #feelsick #excited
fear,tweets,\n\nStephen King never once spoke out about how the Left crushes #FreeSpeech in publishing world.\n\n #Trump  #scifi #ccot #p2
fear,tweets,You don't know what to expect by Brendon's video lmao LA devotee video got me shook
fear,tweets,"haha.. you were actually in violations of someone's trademark?! okay..  Yeah, I went to bed at 4 and I had to be up at 6. :["
fear,fairytale_sentences,"Then the cook sent three servants after them, who were to run and overtake the children."
fear,tweets,Not a word about terrorism.
fear,tweets,*humming* hmmm hmmm hmmmm hmmmmmm Touched for the verry first time..... Hmmmm hmmmm hmmm hmm hmm mmm mmmmm ......
fear,tweets,Very bummed I can't go to the   open house today.   DD and I woke up with a stomach bug.  Blech.  Y'all have fun!
fear,tweets,"I like the commercial where  , on a chocolate milk bender, steals a soccer ball from some guys and refuses to give it back."
fear,tweets,Turned my alarm off this morning because I thought it was Saturday. Had to rush to get ready for work because its def not Saturday   #FAIL
fear,tweets,Awe - didn't know cats got skin cancer
fear,tweets,I have to figure out how this works!! I don't get it  Hope you're doing well!!!
fear,tweets,"It's up now,   and   won.  Sorry"
fear,tweets,"It's 6 am, I haven't been to bed yet, and I just got my second wind.  Guess I should edit or read or something until I feel tired huh?"
fear,tweets,"Okay, cool. Hope you had better dreams than you had last week."
fear,tweets,I have a stupid Recall on my car
fear,emotional_events,When my mother was seriously ill and had to be admitted to the hospital.
fear,tweets,Can't believe   ring my parents NOW when they go tomorrow to say no disabled washing facility for my wheelchair bound dad #shocking
fear,tweets,is tired and cold and runny
fear,tweets,Sam Dyson is probably having flashbacks right about now.
fear,tweets,is alone  ! watch a lot of DVD on my laptop !!!
fear,tweets,So i think my son might have the flu cause I def. just cleaned up a stanky puke mess  Poor pumkpin
fear,tweets,"My sunburn is peeling,"
fear,tweets,Ahhh I miss you!! I had DQ the other night without you...it broke my heart a bit
fear,tweets,My legs are killing me now.  but i know it's a good pain all in all.
fear,tweets,I just saw 22nd of June and it make me think of Jenny  I miss her so much  ...
fear,tweets,what an awkward day. it sucked
fear,tweets,thank you for finding this @   coy
fear,tweets,:o exams. YUCK    that will be hectic!
fear,tweets,ok.... tx  it's so worth the wait! lol...***
fear,tweets,gosh... summer vacation is almost over here at the philippines.. kinda sad..  i wonder what section will i be in?
fear,tweets,Being alone is better than being lonely. Know what is worse than being lonely? Being empty; that's right!\n #Loneliness #aloneinthecity
fear,tweets,"I don't want to lose my wisdom teeth, they make me wise. I will soon be without a trace of wisdom"
fear,tweets,Need to fold laundry and finish dishes... clean out the rabbit's cage too. That's about it that really needs to be done... doable
fear,tweets,"Fear blocks blessings, faith unlocks them. #ManUp  #faith"
fear,artificial_sentences,"She stopped , horrified at what she had been about to say ."
fear,tweets,thanks
fear,tweets,This is how much hair falls off everytime I shower. It's more sad than disgusting
fear,tweets,Just found out my Abuelo in Aguadilla is not doing well
fear,tweets,Don't go there  it is all good
fear,tweets,"We'll be moving from a strength to a hypertrophy phase for chest, back, shoulders and arms for the next few weeks. Legs will stay behind"
fear,tweets,noo  I'm in miami and I just wanna lay out in the sun..but the rain has stopped me
fear,tweets,no other reason? I wonder if she loves you
fear,tweets,"Everywhere I go, the air I breathe in tastes like home.' -   #restless"
fear,tweets,"Ah, sorry to hear your trip was canceled"
fear,tweets,not only was that the worst   that's I've attended but worth one of the worst cons I've been to in the last 5 years #terrible
fear,tweets,I Miss Daddy and Mommy
fear,tweets,Still awake can't fall asleep I'm not one bit sleepy
fear,tweets,"first ripping off the bbc design, now bebo? For shame.."
fear,tweets,": Geez, a cool man like him be the villains. Too bad"
fear,fairytale_sentences,"The thought occurred to him, however, that the king""s son might some day wish to be with his father, and thus bring him into great peril."
fear,tweets,any tips on why our wifi is terrible the past week? Slow or dropping out continuously - NW Calgary 😕
fear,tweets,~ Crushes are for kids! Just like trix. \rHow bout some full blown up Love that makes you quiver deep down into your core? Y E S *=*
fear,tweets,"Whoops! Start Trek,...not Start! Duh."
fear,tweets,I know we need it but I'm not a fan of daily rain/humidity ; I'm a native. I'll enjoy dry while it lasts.
fear,fairytale_sentences,"When the bear saw that, he turned round and ran away."
fear,emotional_events,Before an examn.
fear,emotional_events,The last time I was face to face with with the monstrous dog which lives in my street.
fear,tweets,i had a dream that u didn't like me
fear,fairytale_sentences,"Then Snowdrop was much tempted to taste, for the apple looked so very nice; and when she saw the old woman eat, she could wait no longer."
fear,tweets,is feelin it
fear,tweets,What's with the mass exodus from work at half three?  It makes me sad
fear,tweets,And it pisses me off more they killed people who surrendered. Hands up and all. If hands visible you shouldn't be fearing for your life
fear,tweets,PH and I are having a macaron smackdown...except he is not aware of it...It's all being played out in my head
fear,tweets,"if i buy the petit financiers under the guise of a gift for someone else, maybe then i won't feel guilty about eating them."
fear,tweets,Saturday Night Live in 3 minutes  Jimmy should still be on it.
fear,tweets,dual reject ...
fear,tweets,LOL! That bank told me the time.
fear,tweets,Lmao i know !! pleaseeee reply  You got any replies yet? :L x
fear,tweets,It's a bad start to the day when you're sweating your butt off before 0930 at the range
fear,tweets,Epsilon Greater than Zero misses her Mommy.
fear,tweets,"i know the feeling, working so much sucks hardcore. we need to hang out soon"
fear,tweets,Looks like I'm going in for my op just over a week or so early! #nervous 🙈🙈🙈
fear,tweets,"I'm in dire need of a second job, if you hear of anything in nightlife or food service please please please think of me"
fear,tweets,I've recently gained this highly sad feeling when I say goodbye to someone who I won't see ever again. Even if I barely know them!
fear,tweets,"Also, why are paracetamol so hard to swallow? Even when the long ones are snapped in half. Ow."
fear,artificial_sentences,"In his meeting with Bush , zal reportedly sought to express his disquiet about a bill passing through the US Congress aimed at marking the "" 75th anniversary of the Armenian genocide of 1915-23 "" ."
fear,emotional_events,"I was in the dark room, it's insecure and has holes covered with wooden sheets in the roof the establishment had already been assaulted and could be assaulted again."
fear,tweets,its getting really windy out there
fear,tweets,"i know i don't know u, but physiatrists are seriously the number one best thing for people with anxiety."
fear,tweets,I heard from   ;   you're away. I miss you too  Look forward to tweeting with you when you return.
fear,artificial_sentences,"She sounded frightened , a little distraught ."
fear,tweets,"I start work tmrw yall, i'm nervous lol"
fear,tweets,in my dream....They were trying to steal my kidney!!!  #blackmarket #whydidiwatchthat
fear,tweets,Jeans with fake pockets #horrible
fear,tweets,Leaving for work.. 5:30 can't get here soon enough!  hope everyone has a great day!
fear,emotional_events,One day I was busy day dreaming along the road and suddenly I heard the sound of jamming car braked behind me. I woke up from my dreams and it was about to crash me.
fear,tweets,sunbae* my bad jst scratch wht i said  im talking nonsense here.. lol!!! enjoy the perfs
fear,tweets,Girls with hairy arms scare me
fear,tweets,I must of brought the bad weather with me to the states
fear,tweets,"Spent the entire morning in a meeting w/ a vendor, and my boss was not happy w/ them. Lots of fun.  I had other plans for my morning"
fear,tweets,He won't. I know he won't.
fear,tweets,Back to the salt mine for my one day work week. So much to do.
fear,tweets,Gah the sunlight is so bright today it's giving me a headache  Resorted to wearing new sunglasses
fear,tweets,Still sick at home
fear,tweets,oh how i wish you would get her to sign something then send it to me or let me call you when you meet or something
fear,artificial_sentences,"Rose stood looking down at her , a worried expression in her eyes ."
fear,tweets,"You are welcome, xuxu"
fear,emotional_events,I found a problem in homework which would not get solved although I tried my best.
fear,fairytale_sentences,"Just listen how he is sharpening the knife for it!"""
fear,tweets,I apparently have crappy typing skills...lol sorry
fear,tweets,"I know   But maybe by then you will have forgotten about it, and it will be like Christmas in July!!"
fear,tweets,Is sitting in science freezing  four days (:
fear,tweets,"Very cute - I don't think I can make it to MakerFaire, sadly"
fear,tweets,Up and packing. Its the last day of youth camp
fear,emotional_events,When for the first time I rode on a motorcycle with my brother.  He was going so fast that I felt that I would fall off without my brother realizing it.
fear,tweets,I'm frightened that zombies are going to attack me.  i don't like scary movies.
fear,tweets,You are all our angelic comrades! #flutter
fear,tweets,You make me breathless.
fear,tweets,LOL Just remember how it was after my car accident
fear,tweets,very malakas ang ulan. how will i go to fort
fear,tweets,Off to get ready for toms..  gotta go make sure he's not done anything stupid  ill tweet later.
fear,tweets,AHHHHHHHH!I can't get miley to notice me......
fear,tweets,Wow we're going to war with Korea? There goes my chances of ever being a grandma
fear,tweets,ARCHIE ANDREWS WHAT WERE YOU THINKING?! veronica?
fear,tweets,"I hate having to put my toddler in a disposable, but her rash needs ointment. I hate her having a rash even worse."
fear,tweets,don't ever compare those scrubs to ben..he'll shake off your whole DL and throw a td #7
fear,tweets,"thanks for getting back to me, exemplary customer service for a loyal customer #jk  #residentadvisor #poorservice"
fear,tweets,"well, I took it in early '00, graduated in '01. we were the final stage guinea pigs  it seriously is a waste of time."
fear,tweets,"yeah, its still totally in the high 60s here. soooo notlooking forward to aug and sept up here"
fear,tweets,#NawazSharif says India poses unacceptable conditions to dialogue.#India's only condition is an end to #terrorism. :
fear,emotional_events,My roommate refused to walk with me to the English lectures. I have to walk alone in the dark. Lectures are in the biology building.
fear,tweets,This is to all the people who have MySpaces: PLEASE ADD!!!  it's my friend's clothing line
fear,tweets,how do I stop that horror movie themed commercial? Suddenly hearing screams is really not making me want to watch twitch. #anxiety
fear,tweets,Just printed my mom an Amazon gift card  for Happy Mothers Day talk about last minute.
fear,tweets,Machine keeps beeping* \nNurse: Don't worry. You're all good. Vitals are normal for your size. \n*Walks back out* \nMatt: so you're dying....😑😂
fear,tweets,"she is terrific at her job, where is she headed-- I missed that?"
fear,tweets,awe I'm sorry! I have 2 dogs 3 cats ; a snake
fear,tweets,lucky! I'm still working for another 4 hours!
fear,tweets,Decided not to go...I want to see my sweetie  But I can't.
fear,tweets,and I have a gentleman's agreement: Whoever wins the first match (or is it best of three?) pays for the other person's copy.
fear,tweets,CHILLAXIN AT WORK...MAN I SCREWED UP
fear,tweets,"is hanging with Bryant;;Hailee, possibly Lafayette tonight. 'nd i don't know why i keep updating this because i have 0 followers"
fear,tweets,I hadn't realised how Long it had been since I was last 'tweeting'... Now I'm on here I don't know what to say  x
fear,tweets,off to bed with my sore nipples
fear,tweets,"Just got back from AC. Why am I not freaking out of the midyr exam ? :o HAPPY MOTHER'S DAY, MUMMY"
fear,tweets,"hey!  not much, you?"
fear,fairytale_sentences,Just then came a hunter with four dogs.
fear,tweets,"Uh oh, I am sunburned"
fear,tweets,because i stopped today :S wish me luck.....  (had to overload first)
fear,tweets,I'm putting in Societe Generale in China. Very interesting stuff but has me away too much ... gotta fix that!
fear,tweets,lol i know  and haha..did you fall asleep?? or just get bored of shaun :p joke
fear,emotional_events,My uncle was taken to the UTC for an operation as he had cancer.  There had been a lot of deaths of late - 3 out of every 4 operated.  I was scared for my uncle's life.
fear,tweets,"One day I'm drinking a bottle of nyquil, the other I'm sleeping zero. My lovely #horror fam, which should i watch? 🎩"
fear,tweets,diiinner  its sooo cold right here D:
fear,tweets,Not universal. See   for details.
fear,tweets,Oh nooo  I'm sorry you can't go!
fear,tweets,"Unfortunately, no."
fear,tweets,And I'm listening.
fear,emotional_events,I was to be given an audition to get a role. I had a competitress and I wasn't well prepared because I was ill.
fear,emotional_events,[ While approaching to test the situation.]
fear,tweets,so instead of laying out in this 90 degrees i've gotta give 32 fourth graders miso/rice/sushi/mochi in an hour  fml
fear,emotional_events,A time when I was very afraid of something was when I broke my father's antique lamp.
fear,tweets,LAZZZZZZZZZZZZZZZY MONDAY !! Bank Holiday  Nicole why haven't u direct msged me yet ?!!!
fear,tweets,"I'm not afraid to love, I'm afraid of not being loved back."
fear,emotional_events,When I have to go in for an exam and the examinor is a person with a whimsical character and unsteady requirements.
fear,tweets,Shen computer just broke  Time to get the old IBM out...
fear,tweets,"planning June - lots of appointments. meeting, briefings and litte time to finish my reports"
fear,tweets,I agree people should be able to cohabitate with whomever they choose
fear,tweets,We're having an impromptu pool party... Except I don't know how to swim so I can't get in
fear,tweets,hopes tonight is an okay night
fear,fairytale_sentences,They were terrified and wanted to hide themselves.
fear,tweets,"My man, its like 3:30 in NJ. I have classes to worry about again"
fear,tweets,i'm still in bed and on the laptop ...yep borin !!!
fear,tweets,"Really Wish i could see dave from   again, missing him already"
fear,emotional_events,It was more that fear - anguish -that I felt before my last exam.
fear,tweets,I work till 6:30 daily at the bank~how do I get free ribfest passes???
fear,tweets,My last full day of even day classes. I'm a little sad
fear,tweets,"Actually, I think I'll be more upset if I lost my data for Cake Mania 3. I was pretty far into the game"
fear,tweets,Misses his twitastic fwiends
fear,tweets,- pets get cancer too.
fear,tweets,where r u i? Am wearing a black polkadot dress n green cardigan i cant find u
fear,tweets,ughhhhhhhhhhhh  :/
fear,tweets,Good Monday morning to everyone- Hope everyone's week is off to a successful start
fear,tweets,I feel useless I don't know what to do right now. I'm so bored
fear,tweets,The 'banter' from Craigen and Sutton on BT is fucking horrid
fear,tweets,JB on the front of factor x!!!!! wooh contest timeee
fear,tweets,going to the doctors
fear,tweets,So much #terrible #music playing on the #radio has started to make me wonder weather my taste in music is good or just completely shit
fear,tweets,dammit i had the passes but i am still at work
fear,tweets,is so sick of myself + my life  i'm never going to be as good i want + need to be. xoxoxo &lt;/3
fear,tweets,"thanks  and ill cross my fingers for you, that the rain will stop"
fear,tweets,I watched it all online.  has the last 8 episodes of S5
fear,emotional_events,I had worries about a certain illness.
fear,tweets,Have to sell my car. It's costing me too much. Can now afford one rollerskate. Bye bye petey
fear,emotional_events,The first time that I saw a dead person.  This was when I started my gross anatomy practicals.
fear,tweets,Insomniaaaaaaa..... all night trying to get a sleep... no luck... and now have to work
fear,tweets,So my alarm got changed somehow and I ended up waking up at 1:00  I feel like half my day is gone
fear,tweets,Feeling like I've had the worst night of sleep ever - not great before the #London to #Brighton #cycle ride for   🚴100k #apprehension?
fear,tweets,"I guessed right, like 25 minutes ago...do you even see your replies....lol"
fear,fairytale_sentences,"The willow-wren with his army also came flying through the air with such a humming, and whirring, and swarming that every one was uneasy and afraid, and on both sides they advanced against each other."
fear,tweets,just scared for you! youre so young!   im okay  what you doing?
fear,tweets,".  Ordered before 10pm last night, paid for next day. Didn't bother to fufill order. Now 14 working days for a refund! #shocking"
fear,tweets,My cats sick.
fear,tweets,"Does this blow your mind as much as it blew mine, or did I just sexually harass someone? #WHOA #Mindblown #huh #setback #fright #madashell 😂"
fear,tweets,sad day*Lakers please make me happy with a W
fear,tweets,"In wake of fresh #terror threat and sounding of alert in #Mumbai, praying for safety ; security of everybody in the city #Maharashtra #news"
fear,tweets,go on msn. i need to talk to you about something that happened today
fear,tweets,"Who knows, maybe someday you'll come home and find... *gasp* DINNER in your FRIDGE!"
fear,tweets,"ROFL  Even if I kept insurance and payments under $300, Im still like.. meh. Good thing I applied for a day job pasy $2888mo"
fear,fairytale_sentences,"Pluck the flower off said the other boy, and the daisy trembled for fear, for to be pulled off meant death to it; and it wished so much to live, as it was to go with the square of turf into the poor captive lark's cage."
fear,tweets,.\nWe express our deep concern about the suspension of   \n   please reactivate it. he never violated T.roles
fear,tweets,"Sims 2 owns my life lately! LOL I want to get Sims 3, but my computer can't support it."
fear,tweets,getting ready for work. boohoohoo i dont wanna go to work!
fear,tweets,Somebody please save the polar bears!
fear,tweets,I'm really not feeling today...soooo much work to do and I have a soar throat  gosh
fear,tweets,Having real bad headache..
fear,fairytale_sentences,"Then the eldest son said, ""I will soon find it"": and he went to the sick king, and begged that he might go in search of the Water of Life, as it was the only thing that could save him."
fear,tweets,Scii-fi effects definitely look silly no doubt but its worth a watch inspite of that!!
fear,tweets,misses   so much
fear,tweets,Thinking about Debra leaving in July.
fear,tweets,no  the love of my life is. so i guess now im definately shooting for good
fear,tweets,i now know that we've made a difference in each others lives...i feel proud.
fear,tweets,Damn
fear,tweets,check out the article on   on
fear,emotional_events,"After going through a glass door, I sustained a number of serious cuts which were gaping open."
fear,tweets,Headache is coming on
fear,tweets,yay! your face is back
fear,tweets,i have nothing to do except right a eassy due on monday D: :[ :{  ]: }:
fear,tweets,Robbie Wadge where are you? Does anyone know Robbie? Calling Robbie!
fear,tweets,"sigh, my sisters bein strange.. she came all the way from copenhagen to london, and now her phones turned off.. i wanna see her dammit"
fear,tweets,i'm hungry. i want scrambled eggs again. my grandma always makes perfect scrambled eggs. my mum sucks at it. so i'll go make some myself!
fear,tweets,is hating the weather. UGH.
fear,tweets,Thought I left that part of life behind me\nIt's back to haunt every girl that loves me
fear,tweets,Focusing primarily on the person you’re talking to rather than yourself and the impression you’re making lessens social anxiety.
fear,tweets,Now this is getting out of hand. I'm freaked out by this death...and I'm God!! #mommaGrendel #intimidation
fear,tweets,FINALLY GOT THE BIKE I WANTED!
fear,emotional_events,"When I was cycling through the park late one night, two people jumped out of the woods and tried to stop me.  There were shouting something at the same time."
fear,tweets,getting my hair cut todayyyy! i'm nerrrvous
fear,emotional_events,"My brother and I were driving to Brisbane when he drove back onto the road, perhaps cutting off another car but not noticeable - this driver did his best to drive us off the road for about 1/2 an hour."
fear,tweets,"whats twhirl? I've some work to be doing over the weekend thank god so I'm probably going to miss it red, sorry"
fear,tweets,Listening to We Are Dead Ocean by  . I actually listened twice in a row because it's so short and pleasing
fear,tweets,ur gonna be missed you know  but i hope things will be better for you
fear,tweets,Swollen face.....again
fear,tweets,"ohhh ok. so like, it's more frustrating? I had my hands on a 3g iphone last week but it was upgraded so i couldn't unlock it"
fear,artificial_sentences,Someone must have buried them when they were too frightened to hand them in to the police station .
fear,artificial_sentences,"We had n't gone very far when we met up with another Lancaster returning from a Cook 's Tour , and to my horror the two aircraft then flew wing-tip to wing-tip all the way home ."
fear,tweets,thanks  i'm up every night all night. bad sleeping schedule lol why are you still up?
fear,emotional_events,When I heard a rumour that the 1st year exam results were out. I had fear that I might be one of the failures.
fear,tweets,i could really fancy a nap right now but i am at work at 7am and i feel that if i nap now i am wasting my evening
fear,fairytale_sentences,"Sleep was still in his eyes, but yet he crowed out: ""Three hens have died of their unfortunate love for a cock."
fear,fairytale_sentences,"They were obliged to run after him continually, now left, now right, wherever his legs took him."
fear,tweets,"how very rude fof them, you poor girl i hope you recovered from that  awful site"
fear,tweets,true that! don't know why i bothered this morning cos I just put it up in a pony soon as I got to work anyways
fear,emotional_events,A relative died.
fear,tweets,"It's about time I let people know whats happenning, although I often wonder why I bother   but hey it'll soon be Christmas........"
fear,tweets,Ugh i can't sleep and it's reallyy gettin to me gahif pisses me off so bad sometimes. Atleast i know who my friends are
fear,fairytale_sentences,"Come on, Cousin Benjamin!"""
fear,tweets,"I've been unlocked for decades now...just not lucky, never have been.  Gottta make my own luck and that involves $$$$$"
fear,tweets,Shoutout to Reyah my fellow Philly homegirl we're both making the best of hard situations  (PUSH) pray until something happens.. much love
fear,tweets,"It's been raining the past few days but it was actually sunny today! Well, for a little while. Now it's super cloudy!"
fear,tweets,"Have to listen to samples to make sure I'm thinking of the same stuff. Loud, odd, Zorn-y stuff as I recall. Not Mr. Bungle."
fear,emotional_events,Walking in the dark by myself.
fear,tweets,it's funny how they can be in such a hurry but have plenty of time to stop and threaten people
fear,tweets,(duh typo error) part 2: social networking??.. there isn't even room for people
fear,tweets,nice .. I can't ever get that from my ex!
fear,tweets,I'm chopped liver.
fear,emotional_events,Going home alone through the forest after a girl guide (scout ?) meeting.
fear,tweets,Hi guys! Guess who has Twitter on her phone now? Me!
fear,tweets,Tweeting from the sporadic wifi on the tube
fear,fairytale_sentences,"Now the apple was so made up that one side was good, though the other side was poisoned."
fear,tweets,These mets know how to give someone anxiety #mets #lgm #anxiety
fear,tweets,A Lysol can got stuck in spray position and we're all slowly suffocating from the trash can that smells like a Febreeze factory.
fear,artificial_sentences,What a contrast with the rattled and untrustworthy gamblers at Number 10 and Number 11 Downing Street .
fear,tweets,Can't start a good day without a cup of tea! \n\n#tea #start #day #goodday
